ticker,description,sector
CPIX,CUMBERLAND PHARMACEUTICALS INC COM,Pharmaceuticals
CRDL,CARDIOL THERAPEUTICS INC COM CL A,Pharmaceuticals
CRLBF,CRESCO LABS INC COM,Pharmaceuticals
CRMD,CORMEDIX INC COM,Pharmaceuticals
CRON,CRONOS GROUP INC COM,Pharmaceuticals
CTXR,CITIUS PHARMACEUTICALS INC COM,Pharmaceuticals
CVKD,CADRENAL THERAPEUTICS INC COM,Pharmaceuticals
CYTO,ALTAMIRA THERAPEUTICS LTD COM,Pharmaceuticals
DMK,DMK PHARMACEUTICALS CORP COM,Pharmaceuticals
DRRX,DURECT CORP COM,Pharmaceuticals
ELOX,ELOXX PHARMACEUTICALS INC COM,Pharmaceuticals
ENVB,ENVERIC BIOSCI COM,Pharmaceuticals
ESPR,ESPERION THERAPEUTICS INC COM,Pharmaceuticals
ETON,ETON PHARMACEUTICALS INC COM,Pharmaceuticals
EVOK,EVOKE PHARMA INC COM,Pharmaceuticals
EYEN,EYENOVIA INC COM,Pharmaceuticals
HEPA,HEPION PHARMACEUTICALS INC COM,Pharmaceuticals
HITI,HIGH TIDE INC COM,Pharmaceuticals
HOTH,HOTH THERAPEUTICS INC COM,Pharmaceuticals
HUGE,FSD PHARMA INC COM CL B,Pharmaceuticals
IKNA,IKENA ONCOLOGY INC COM,Pharmaceuticals
INCR,INTERCURE LTD COM,Pharmaceuticals
ITRM,ITERUM THERAPEUTICS PLC COM,Pharmaceuticals
IXHL,INCANNEX HEALTHCARE INC COM,Pharmaceuticals
JUSHF,JUSHI HOLDINGS INC COM CL B,Pharmaceuticals
KHTRF,KNIGHT THERAPEUTICS INC COM,Pharmaceuticals
KPRX,KIORA PHARMACEUTICALS INC COM,Pharmaceuticals
LABP,LANDOS BIOPHARMA INC COM,Pharmaceuticals
LEXX,LEXARIA BIOSCIENCE CORP COM,Pharmaceuticals
LEXXW,LEXARIA BIOSCIENCE CORP WARRANT,Pharmaceuticals
LOVFF,CANNARA BIOTECH INC COM,Pharmaceuticals
LPCN,LIPOCINE INC COM,Pharmaceuticals
LYRA,LYRA THERAPEUTICS INC COM,Pharmaceuticals
MEDXF,MEDEXUS PHARMACEUTICALS INC COM,Pharmaceuticals
MILFF,1CM INC COM,Pharmaceuticals
MIRA,MIRA PHARMACEUTICALS INC COM,Pharmaceuticals
MIST,MILESTONE PHARMACEUTICALS INC COM,Pharmaceuticals
MNMD,MIND MEDICINE (MINDMED) INC COM,Pharmaceuticals
NGENF,NERVGEN PHARMA CORP COM,Pharmaceuticals
NGM,NGM BIOPHARMACEUTICALS INC COM,Pharmaceuticals
NKTR,NEKTAR THERAPEUTICS COM,Pharmaceuticals
NTRB,NUTRIBAND INC COM,Pharmaceuticals
NUVB,NUVATION BIO INC COM CL A,Pharmaceuticals
OCSAW,OCULIS HOLDING AG WARRANT,Pharmaceuticals
OCUL,OCULAR THERAPEUTIX INC COM,Pharmaceuticals
OCUP,OCUPHIRE PHARMA INC COM,Pharmaceuticals
OGI,ORGANIGRAM HOLDINGS INC COM,Pharmaceuticals
OMER,OMEROS CORP COM,Pharmaceuticals
ONTX,ONCONOVA THERAPEUTICS INC COM,Pharmaceuticals
OPTN,OPTINOSE INC COM,Pharmaceuticals
ORMP,ORAMED PHARMACEUTICALS INC COM,Pharmaceuticals
PALI,PALISADE BIO INC COM,Pharmaceuticals
PCSA,PROCESSA PHARMACEUTICALS INC COM,Pharmaceuticals
PLNH,PLANET 13 HOLDINGS INC COM,Pharmaceuticals
PPBT,PURPLE BIOTECH LTD ADR SPONSORED,Pharmaceuticals
PRFX,PAINREFORM LTD COM,Pharmaceuticals
PROC,PROCAPS GROUP COM USD0.01,Pharmaceuticals
PRPH,PROPHASE LABS INC COM,Pharmaceuticals
PRTT,PROTECT PHARMAS CORP COM,Pharmaceuticals
PTPI,PETROS PHARMACEUTICALS INC COM,Pharmaceuticals
PULM,PULMATRIX INCORPORATED COM,Pharmaceuticals
PXMD,PAXMEDICA INC COM,Pharmaceuticals
QLI,QILIAN INTL HLDG GROUP LTD COM,Pharmaceuticals
RAIN,RAIN ONCOLOGY INC MRG $1.16 & 1:1 1/29/24,Pharmaceuticals
RANI,RANI THERAPEUTICS HLDGS INC COM CL A,Pharmaceuticals
RDHL,REDHILL BIOPHARMA LTD ADR,Pharmaceuticals
RLMD,RELMADA THERAPEUTICS INC COM,Pharmaceuticals
RVPH,REVIVA PHARMACEUTCLS HLDGS INC COM,Pharmaceuticals
RVPHW,REVIVA PHARMACEUTCLS HLDGS INC WARRANT,Pharmaceuticals
SCLX,SCILEX HOLDING COMPANY COM,Pharmaceuticals
SCYX,SCYNEXIS INC COM,Pharmaceuticals
SEEL,SEELOS THERAPEUTICS INC COM,Pharmaceuticals
SHWZ,MEDICINE MAN TECHNOLOGIES INC COM,Pharmaceuticals
SLGL,SOL GEL TECHNOLOGIES LTD COM,Pharmaceuticals
SNDL,SNDL INC COM,Pharmaceuticals
SNES,SENESTECH INC COM,Pharmaceuticals
SPHRY,STARPHARMA HOLDINGS LIMITED ADR SPONSORED,Pharmaceuticals
SPRC,SCISPARC LTD COM,Pharmaceuticals
SXTC,CHINA SXT PHARMACEUTICALS INC COM,Pharmaceuticals
SXTP,60 DEGREES PHARMACEUTICALS INC COM,Pharmaceuticals
THRX,THESEUS PHARMACEUTICALS INC COM,Pharmaceuticals
TLRY,TILRAY BRANDS INC COM,Pharmaceuticals
TRVI,TREVI THERAPEUTICS INC COM,Pharmaceuticals
TSNDF,TERRASCEND CORP COM,Pharmaceuticals
TXMD,THERAPEUTICSMD INC COM,Pharmaceuticals
UPC,UNIVERSE PHARMACEUTICALS INC COM,Pharmaceuticals
VTYX,VENTYX BIOSCIENCES INC COM,Pharmaceuticals
VYNE,VYNE THERAPEUTICS INC COM,Pharmaceuticals
WVE,WAVE LIFE SCIENCES LTD COM,Pharmaceuticals
XERS,XERIS BIOPHARMA HLDGS INC COM,Pharmaceuticals
XRTX,XORTX THERAPEUTICS INC COM,Pharmaceuticals
YCBD,CBDMD INC COM,Pharmaceuticals
ACHFF,ARCH BIOPARTNERS INC COM,Life Sciences Tools & Services
ADPT,ADAPTIVE BIOTECHNOLOGIES CORP COM,Life Sciences Tools & Services
AKYA,AKOYA BIOSCIENCES INC COM,Life Sciences Tools & Services
APDN,APPLIED DNA SCIENCES INC COM,Life Sciences Tools & Services
BNGO,BIONANO GENOMICS INC COM,Life Sciences Tools & Services
CDT,CONDUIT PHARMACEUTICALS INC COM,Life Sciences Tools & Services
CDXC,CHROMADEX CORPORATION COM,Life Sciences Tools & Services
CDXS,CODEXIS INC COM,Life Sciences Tools & Services
CGEN,COMPUGEN COM,Life Sciences Tools & Services
GENE,GENETIC TECH ADR SPONSORED,Life Sciences Tools & Services
HBIO,HARVARD BIOSCIENCE INC COM,Life Sciences Tools & Services
IPA,IMMUNOPRECISE ANTIBODIES LTD COM,Life Sciences Tools & Services
LAB,STANDARD BIOTOOLS INC COM,Life Sciences Tools & Services
NAUT,NAUTILUS BIOTECHNOLOGY INC COM,Life Sciences Tools & Services
NOTV,INOTIV INC COM,Life Sciences Tools & Services
PBSV,PHARMA-BIO SERVICES INC COM,Life Sciences Tools & Services
PSNL,PERSONALIS INC COM,Life Sciences Tools & Services
QSI,QUANTUM-SI INC COM CL A,Life Sciences Tools & Services
RPID,RAPID MICRO BIOSYSTEMS INC COM,Life Sciences Tools & Services
SEER,SEER INC COM CL A,Life Sciences Tools & Services
SEQL,SEQLLL INC COM,Life Sciences Tools & Services
SNCE,SCIENCE 37 HLDGS INC COM,Life Sciences Tools & Services
TKNO,ALPHA TEKNOVA INC COM,Life Sciences Tools & Services
ASYS,AMTECH SYSTEMS INC COM,Semiconductors & Semiconductor Equipment
AXTI,AXT INC COM,Semiconductors & Semiconductor Equipment
CVV,CVD EQUIPMENT CORP COM,Semiconductors & Semiconductor Equipment
RBCN,RUBICON TECHNOLOGY INC COM,Semiconductors & Semiconductor Equipment
RNWEY,REC SILICON ASA ADR UNSPONSORED,Semiconductors & Semiconductor Equipment
AMSSY,AMS OSRAM AG ADR UNSPONSORED,Semiconductors & Semiconductor Equipment
ASTI,ASCENT SOLAR TECHNOLOGIES INC COM,Semiconductors & Semiconductor Equipment
GSIT,GSI TECHNOLOGY INC COM,Semiconductors & Semiconductor Equipment
GUER,GUERRILLA RF INC COM,Semiconductors & Semiconductor Equipment
KOPN,KOPIN CORP COM,Semiconductors & Semiconductor Equipment
LAES,SEALSQ CORP COM,Semiconductors & Semiconductor Equipment
LEDS,SEMILEDS CORPORATION COM,Semiconductors & Semiconductor Equipment
MAXN,MAXEON SOLAR TECH LTD COM,Semiconductors & Semiconductor Equipment
MOBX,MOBIX LABS INC COM CL A,Semiconductors & Semiconductor Equipment
NA,NANO LABS LTD ADR,Semiconductors & Semiconductor Equipment
POET,POET TECHNOLOGIES INC COM,Semiconductors & Semiconductor Equipment
PXLW,PIXELWORKS INC COM,Semiconductors & Semiconductor Equipment
RGTI,RIGETTI COMPUTING INC COM,Semiconductors & Semiconductor Equipment
SPI,SPI ENERGY CO LTD COM,Semiconductors & Semiconductor Equipment
SQNS,SEQUANS COMMUNICATIONS ADR,Semiconductors & Semiconductor Equipment
TGAN,TRANSPHORM INC COM,Semiconductors & Semiconductor Equipment
VLN,VALENS SEMICONDUCTOR LTD COM,Semiconductors & Semiconductor Equipment
WKEY,WISEKEY INTERNATIONAL HLDG LTD ADR SPONSORED,Semiconductors & Semiconductor Equipment
